Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Prueba,Firefox 70.0,,,2019-12-16 18:03:02,2019-12-16 18:05:22,"2m - 20,803s",PASSED
,,,,,,,
Test Cases/Avaluos/QA,Firefox 70.0,,,2019-12-16 18:03:02,2019-12-16 18:03:25,"23,535s",PASSED
"openBrowser("""")",Firefox 70.0,,,2019-12-16 18:03:02,2019-12-16 18:03:08,"5,134s",PASSED
maximizeWindow(),Firefox 70.0,,,2019-12-16 18:03:08,2019-12-16 18:03:08,"0,027s",PASSED
"navigateToUrl(""https://rv.sitioweb.doctusdev.com/avaluos"")",Firefox 70.0,,,2019-12-16 18:03:08,2019-12-16 18:03:19,"11,410s",PASSED
"setText(findTestObject(""Page_Iniciar Sesin/input_Usuario_UserName""), ""eseguro_c"")",Firefox 70.0,,,2019-12-16 18:03:19,2019-12-16 18:03:19,"0,397s",PASSED
"setEncryptedText(findTestObject(""Page_Iniciar Sesin/input_Contrasea_Password""), ""nb2Oiqk0V9vLY3/cKD33Cw=="")",Firefox 70.0,,,2019-12-16 18:03:19,2019-12-16 18:03:20,"0,403s",PASSED
"click(findTestObject(""Page_Iniciar Sesin/input_Olvid mi contrasea_btn btn-default""))",Firefox 70.0,,,2019-12-16 18:03:20,2019-12-16 18:03:25,"5,633s",PASSED
,,,,,,,
Test Cases/Avaluos/Test_avaluos,Firefox 70.0,,,2019-12-16 18:03:25,2019-12-16 18:03:33,"7,228s",PASSED
"openBrowser("""")",Firefox 70.0,,,2019-12-16 18:03:26,2019-12-16 18:03:30,"3,772s",PASSED
maximizeWindow(),Firefox 70.0,,,2019-12-16 18:03:30,2019-12-16 18:03:30,"0,015s",PASSED
"navigateToUrl(""https://rv.sitioweb.doctusdev.com/avaluos"")",Firefox 70.0,,,2019-12-16 18:03:30,2019-12-16 18:03:31,"1,014s",PASSED
"setText(findTestObject(""Page_Iniciar Sesin/input_Usuario_UserName""), ""eseguro_c"")",Firefox 70.0,,,2019-12-16 18:03:31,2019-12-16 18:03:31,"0,340s",PASSED
"setEncryptedText(findTestObject(""Page_Iniciar Sesin/input_Contrasea_Password""), ""nb2Oiqk0V9vLY3/cKD33Cw=="")",Firefox 70.0,,,2019-12-16 18:03:31,2019-12-16 18:03:31,"0,304s",PASSED
